name_1,name_2
subp-3_mp-ff_Woodblock_beat4-4_rvb2_off431,subp-3_mp-ff_Woodblock_beat4-4_rvb2_off264
hairpin-3_mp-f_DSnareDrum1_beat4-6_rvb0_off431,hairpin-3_mp-f_DSnareDrum1_beat4-6_rvb0_off264
hairpin-3_mp-f_DSnareDrum1_beat4-6_rvb0_off431,hairpin-3_mp-f_DSnareDrum1_beat4-6_rvb0_off0
hairpin-3_pp-f_Agogo_beat4-5_rvb2_off264,hairpin-3_pp-f_Agogo_beat4-5_rvb2_off431
hairpin-3_pp-f_Agogo_beat4-5_rvb2_off264,hairpin-3_pp-f_Agogo_beat4-5_rvb2_off0
subf-3_mp-mf_DSnareDrum1_beat4-8_rvb0_off0,subf-3_mp-mf_DSnareDrum1_beat4-8_rvb0_off264
subf-2_mp-mf_Woodblock_beat4-4_rvb0_off431,subf-2_mp-mf_Woodblock_beat4-4_rvb0_off264
subf-2_mp-mf_Woodblock_beat4-4_rvb0_off431,subf-2_mp-mf_Woodblock_beat4-4_rvb0_off0
subp-3_p-ff_DSnareDrum1_beat4-7_rvb0_off431,subp-3_p-ff_DSnareDrum1_beat4-7_rvb0_off264
subp-3_p-ff_DSnareDrum1_beat4-7_rvb0_off431,subp-3_p-ff_DSnareDrum1_beat4-7_rvb0_off0
decresc_p-mf_DSnareDrum1_beat4-7_rvb0_off431,decresc_p-mf_DSnareDrum1_beat4-7_rvb0_off264
decresc_p-mf_DSnareDrum1_beat4-7_rvb0_off431,decresc_p-mf_DSnareDrum1_beat4-7_rvb0_off0
hairpin-2_p-mf_Woodblock_beat4-4_rvb1_off264,hairpin-2_p-mf_Woodblock_beat4-4_rvb1_off0
hairpin-2_p-mf_Woodblock_beat4-4_rvb1_off264,hairpin-2_p-mf_Woodblock_beat4-4_rvb1_off431
subp-2_mp-f_Woodblock_beat4-3_rvb1_off431,subp-2_mp-f_Woodblock_beat4-3_rvb1_off264
subp-2_mp-f_Woodblock_beat4-3_rvb1_off431,subp-2_mp-f_Woodblock_beat4-3_rvb1_off0
subp-3_p-f_MelodicTom_beat4-6_rvb0_off431,subp-3_p-f_MelodicTom_beat4-6_rvb0_off0
subp-3_p-f_MelodicTom_beat4-6_rvb0_off431,subp-3_p-f_MelodicTom_beat4-6_rvb0_off264
hairpin-1_mp-ff_TaikoDrum_beat4-2_rvb0_off0,hairpin-1_mp-ff_TaikoDrum_beat4-2_rvb0_off264
hairpin-1_mp-ff_TaikoDrum_beat4-2_rvb0_off0,hairpin-1_mp-ff_TaikoDrum_beat4-2_rvb0_off431
hairpin-3_p-f_DSnareDrum1_beat4-5_rvb1_off431,hairpin-3_p-f_DSnareDrum1_beat4-5_rvb1_off0
hairpin-3_p-f_DSnareDrum1_beat4-5_rvb1_off431,hairpin-3_p-f_DSnareDrum1_beat4-5_rvb1_off264
subp-1_pp-f_DSnareDrum1_beat4-3_rvb0_off0,subp-1_pp-f_DSnareDrum1_beat4-3_rvb0_off264
subp-1_pp-f_DSnareDrum1_beat4-3_rvb0_off0,subp-1_pp-f_DSnareDrum1_beat4-3_rvb0_off431
hairpin-3_p-ff_Woodblock_beat4-3_rvb0_off264,hairpin-3_p-ff_Woodblock_beat4-3_rvb0_off431
hairpin-3_p-ff_Woodblock_beat4-3_rvb0_off264,hairpin-3_p-ff_Woodblock_beat4-3_rvb0_off0
revhairpin-2_p-mf_DSnareDrum1_beat4-5_rvb1_off431,revhairpin-2_p-mf_DSnareDrum1_beat4-5_rvb1_off264
revhairpin-2_p-mf_DSnareDrum1_beat4-5_rvb1_off431,revhairpin-2_p-mf_DSnareDrum1_beat4-5_rvb1_off0
hairpin-3_p-ff_Woodblock_beat4-2_rvb2_off431,hairpin-3_p-ff_Woodblock_beat4-2_rvb2_off0
hairpin-3_p-ff_Woodblock_beat4-2_rvb2_off431,hairpin-3_p-ff_Woodblock_beat4-2_rvb2_off264
hairpin-3_pp-mf_Woodblock_beat4-6_rvb2_off0,hairpin-3_pp-mf_Woodblock_beat4-6_rvb2_off431
hairpin-3_pp-mf_Woodblock_beat4-6_rvb2_off0,hairpin-3_pp-mf_Woodblock_beat4-6_rvb2_off264
decresc_pp-mf_DSnareDrum1_beat4-6_rvb0_off264,decresc_pp-mf_DSnareDrum1_beat4-6_rvb0_off431
decresc_pp-mf_DSnareDrum1_beat4-6_rvb0_off264,decresc_pp-mf_DSnareDrum1_beat4-6_rvb0_off0
hairpin-2_pp-ff_DSnareDrum1_beat4-4_rvb1_off0,hairpin-2_pp-ff_DSnareDrum1_beat4-4_rvb1_off431
hairpin-2_pp-ff_DSnareDrum1_beat4-4_rvb1_off0,hairpin-2_pp-ff_DSnareDrum1_beat4-4_rvb1_off264
revhairpin-3_p-ff_MelodicTom_beat4-4_rvb2_off431,revhairpin-3_p-ff_MelodicTom_beat4-4_rvb2_off0
revhairpin-3_p-ff_MelodicTom_beat4-4_rvb2_off431,revhairpin-3_p-ff_MelodicTom_beat4-4_rvb2_off264
hairpin-3_pp-mf_Woodblock_beat4-7_rvb1_off0,hairpin-3_pp-mf_Woodblock_beat4-7_rvb1_off431
hairpin-3_pp-mf_Woodblock_beat4-7_rvb1_off0,hairpin-3_pp-mf_Woodblock_beat4-7_rvb1_off264
